Date,Channel,Currency,Exchange,success,pump_date
2019-03-26T20:55:46Z,Crypto Tree 🎄,MTH,Binance,0,
2019-03-27T03:45:50Z,Crypto Advisor,BCPT,Binance,0,
2019-03-27T15:05:00Z,Crypto Advisor,NAS,Binance,0,
2019-03-28T12:57:31Z,Crypto Advisor,LRC,Binance,1,2019-03-28T12:57:00Z
2019-03-28T14:35:40Z,Crypto Advisor,AMB,Binance,0,
2019-03-28T15:46:54Z,Crypto Tree 🎄,WABI,Binance,0,
2019-03-29T04:26:40Z,Crypto Advisor,MITH,Binance,0,
2019-03-29T11:59:56Z,Crypto Advisor,DNT,Binance,1,2019-03-29T11:59:00Z
2019-03-30T11:53:12Z,Crypto Advisor,ARDR,Binance,0,
2019-03-31T14:09:45Z,Crypto Advisor,STORJ,Binance,0,
2019-04-01T08:14:55Z,Crypto Advisor,DATA,Binance,0,
2019-04-02T18:59:39Z,Maximum Pump,CND,Binance,0,
2019-04-04T01:43:43Z,Crypto Tree 🎄,IOTX,Binance,0,
2019-04-04T13:29:15Z,Cryptonians (Free Signals and News Update),SNM,Binance,1,2019-04-04T12:30:00Z
2019-04-07T19:00:50Z,Maximum Pump,DLT,Binance,1,2019-04-07T19:01:00Z
2019-04-08T16:30:48Z,Crypto Pump Island,NEBL,Binance,1,2019-04-08T16:30:00Z
2019-04-09T18:59:46Z,Maximum Pump,RDN,Binance,1,2019-04-09T19:00:00Z
2019-04-13T16:59:56Z,Mega Pump Group,BLZ,Binance,1,2019-04-13T17:00:00Z
2019-04-14T19:00:54Z,Maximum Pump,BRD,Binance,1,2019-04-14T19:01:00Z
2019-04-16T19:00:36Z,Maximum Pump,VIBE,Binance,1,2019-04-16T19:00:00Z
2019-04-17T17:00:21Z,Crypto Pump Island,ARDR,Binance,1,2019-04-17T17:00:00Z
2019-04-23T15:00:36Z,Crypto Pump Island,SNM,Binance,1,2019-04-23T15:01:00Z
2019-04-24T17:00:00Z,Mega Pump Group,RDN,Binance,1,2019-04-24T17:00:00Z
2019-04-24T19:00:59Z,Maximum Pump,APPC,Binance,1,2019-04-24T19:00:00Z
2019-04-25T19:15:21Z,Maximum Pump,ADX,Binance,0,
2019-04-29T15:00:06Z,Bitcoin Pump Group,REQ,Binance,1,2019-04-29T14:01:00Z
2019-05-05T19:00:17Z,Maximum Pump,POA,Binance,1,2019-05-05T19:00:00Z
2019-05-06T13:15:20Z,Maximum Pump,BCPT,Binance,0,
2019-05-11T09:28:44Z,Maximum Pump,RDN,Binance,0,
2019-05-12T16:59:57Z,DA PUMP,HC,Binance,1,2019-05-12T17:00:00Z
2019-05-13T15:00:00Z,Binance Profit Signal,CDT,Binance,1,2019-05-13T15:00:00Z
2019-05-16T16:29:10Z,Crypto Advisor,MTH,Binance,0,
2019-05-16T16:59:12Z,premium binance signals turkey,HC,Binance,1,2019-05-16T16:59:00Z
2019-05-17T05:11:41Z,Crypto Tree 🎄,MATIC,Binance,0,
2019-05-17T15:59:06Z,Crypto Advisor,CDT,Binance,1,2019-05-17T15:01:00Z
2019-05-18T15:30:09Z,Whales Crypto Guide,HC,Binance,1,2019-05-18T15:30:00Z
2019-05-18T16:59:57Z,Mega Pump Group,NAV,Binance,1,2019-05-18T17:00:00Z
2019-05-21T13:30:19Z,Whales Crypto Guide,CND,Binance,1,2019-05-21T13:30:00Z
2019-05-22T15:15:19Z,Crypto Advisor,BRD,Binance,0,
2019-05-23T17:00:01Z,Crypto Pump Island,SYS,Binance,1,2019-05-23T17:00:00Z
2019-05-24T06:39:04Z,Bitcoin Pump Group,GNT,Binance,0,
2019-05-24T07:57:42Z,Bitcoin Pump Group,ELF,Binance,0,
2019-05-24T16:02:01Z,Crypto Advisor,FET,Binance,0,
2019-05-25T16:00:03Z,Crypto Ninja Coach | Official™,BRD,Binance,0,
2019-05-25T18:41:14Z,Crypto Advisor,WABI,Binance,0,
2019-05-26T01:58:54Z,Crypto Tree 🎄,DATA,Binance,0,
2019-05-27T15:31:28Z,Crypto Tree 🎄,DATA,Binance,0,
2019-05-27T17:00:05Z,Crypto Pump Island,BLZ,Binance,1,2019-05-27T17:00:00Z
2019-05-28T08:11:47Z,Crypto Advisor,QKC,Binance,0,
2019-05-28T10:44:39Z,Cryptocurrency: Wolf Posting 🚀,DNT,Binance,0,
2019-05-28T15:00:01Z,Crypto Advisor,QSP,Binance,1,2019-05-28T15:00:00Z
2019-05-29T03:07:38Z,Cryptocurrency: Wolf Posting 🚀,DNT,Binance,0,
2019-05-29T07:38:51Z,Crypto Tree 🎄,ONG,Binance,0,
2019-05-29T11:41:59Z,Crypto Advisor,POLY,Binance,0,
2019-05-30T12:00:15Z,Crypto Advisor,MTH,Binance,0,
2019-05-31T08:25:51Z,Crypto Advisor,MITH,Binance,0,
2019-05-31T08:41:08Z,Bitcoin Pump Group,EVX,Binance,0,
2019-05-31T14:59:35Z,Binance Profit Signal,PPT,Binance,1,2019-05-31T14:59:00Z
2019-05-31T17:00:01Z,Crypto Pump Island,ARDR,Binance,1,2019-05-31T17:00:00Z
2019-06-01T16:36:26Z,Cryptocurrency: Wolf Posting 🚀,DLT,Binance,0,
2019-06-02T13:56:36Z,Crypto Advisor,THETA,Binance,0,
2019-06-02T16:00:09Z,𝘽𝙖𝙗𝙮 𝘾𝙮𝙥𝙩𝙤 𝙘𝙝𝙖𝙣𝙣𝙚𝙡,PIVX,Binance,1,2019-06-02T16:00:00Z
2019-06-02T21:00:35Z,Binance Royal Pump,SNM,Binance,1,2019-06-02T21:00:00Z
2019-06-03T11:14:37Z,Cryptocurrency: Wolf Posting 🚀,WPR,Binance,0,
2019-06-07T04:35:00Z,Cryptocurrency: Wolf Posting 🚀,TNB,Binance,0,
2019-06-07T07:41:45Z,Cryptocurrency: Wolf Posting 🚀,CVC,Binance,0,
2019-06-07T07:53:40Z,Cryptocurrency: Wolf Posting 🚀,POWR,Binance,0,
2019-06-08T12:59:57Z,Cryptocurrency: Wolf Posting 🚀,REQ,Binance,0,
2019-06-08T16:59:28Z,Bitcoin Pump Group,REN,Binance,0,
2019-06-11T18:00:12Z,Crypto Trading.,STORJ,Binance,1,2019-06-11T18:00:00Z
2019-06-13T01:46:06Z,Crypto Tree 🎄,ARDR,Binance,0,
2019-06-13T15:59:55Z,Cryptocurrency: Wolf Posting 🚀,CDT,Binance,0,
2019-06-14T18:38:39Z,Cryptocurrency: Wolf Posting 🚀,AST,Binance,0,
2019-06-15T16:59:50Z,Bitcoin Pump Group,BNT,Binance,1,2019-06-15T16:17:00Z
2019-06-16T11:11:24Z,Cryptocurrency: Wolf Posting 🚀,AMB,Binance,0,
2019-06-16T16:05:00Z,Cryptocurrency: Wolf Posting 🚀,LEND,Binance,0,
2019-06-16T21:00:40Z,Crypto Pump Island,NEBL,Binance,1,2019-06-16T21:00:00Z
2019-06-17T14:59:25Z,Binance Profit Signal,BRD,Binance,1,2019-06-17T14:59:00Z
2019-06-17T14:59:56Z,Cryptocurrency: Wolf Posting 🚀,NXS,Binance,1,2019-06-17T14:58:00Z
2019-06-17T23:47:50Z,Crypto Tree 🎄,IOTX,Binance,0,
2019-06-18T16:00:10Z,The Crypto Express.,BNT,Binance,1,2019-06-18T16:00:00Z
2019-06-19T15:00:01Z,Crypto Pump Island,REN,Binance,1,2019-06-19T15:00:00Z
2019-06-23T08:29:52Z,Cryptocurrency: Wolf Posting 🚀,CND,Binance,0,
2019-06-23T14:37:52Z,Cryptocurrency: Wolf Posting 🚀,APPC,Binance,0,
2019-06-24T17:00:02Z,Crypto Pump Island,NAV,Binance,1,2019-06-24T17:00:00Z
2019-06-24T17:10:21Z,Cryptocurrency: Wolf Posting 🚀,APPC,Binance,0,
2019-06-24T17:45:30Z,American Whales,SNGLS,Binance,1,2019-06-24T17:37:00Z
2019-06-25T16:00:04Z,𝘾𝙧𝙮𝙥𝙩𝙤 𝙈𝙖𝙧𝙠𝙚𝙩 𝙎𝙞𝙜𝙣𝙖𝙡,OAX,Binance,1,2019-06-25T16:00:00Z
2019-06-25T16:00:08Z,American Whales,INS,Binance,1,2019-06-25T15:59:00Z
2019-06-26T17:00:01Z,Crypto Pump Island,DNT,Binance,1,2019-06-26T16:59:00Z
2019-06-28T17:00:25Z,Crypto Pump Island,SNGLS,Binance,1,2019-06-28T17:02:00Z
2019-06-29T10:16:13Z,Crypto Trading.,CDT,Binance,0,
2019-06-29T16:00:43Z,Bitcoin Pump Group,DNT,Binance,1,2019-06-29T16:00:00Z
2019-06-30T18:23:53Z,Cryptocurrency: Wolf Posting 🚀,FUN,Binance,0,
2019-07-01T07:28:03Z,Crypto Tree 🎄,REN,Binance,0,
2019-07-01T16:59:30Z,Bitcoin Pump Group,REQ,Binance,1,2019-07-01T16:59:00Z
2019-07-05T15:00:01Z,Binance Mega Pump,QSP,Binance,1,2019-07-05T14:55:00Z
2019-07-05T17:00:32Z,Signals Lion,ADX,Binance,1,2019-07-05T17:00:00Z
2019-07-07T15:17:42Z,Crypto Tree 🎄,QSP,Binance,0,
2019-07-09T17:00:15Z,Crypto Pump Island,CND,Binance,0,
2019-07-11T17:00:01Z,Crypto Pump Island,SNM,Binance,1,2019-07-11T17:00:00Z
2019-07-11T18:00:06Z,Binance Mega Pump,BNT,Binance,1,2019-07-11T17:59:00Z
2019-07-12T16:15:33Z,Crypto Lion's™,WABI,Binance,0,
2019-07-13T08:48:44Z,BitAssist,REQ,Binance,0,
2019-07-13T16:57:23Z,Binance Royal Pump,NAV,Binance,1,2019-07-13T16:57:00Z
2019-07-15T17:00:07Z,Crypto Pump Island,DLT,Binance,1,2019-07-15T16:59:00Z
2019-07-17T17:00:08Z,Crypto Pump Island,SYS,Binance,1,2019-07-17T17:00:00Z
2019-07-19T17:00:13Z,Crypto Pump Island,BTS,Binance,1,2019-07-19T17:00:00Z
2019-07-22T16:00:14Z,Crypto Pump Island,SNT,Binance,1,2019-07-22T16:00:00Z
2019-07-23T16:21:31Z,Crypto Tree 🎄,GRS,Binance,0,
2019-07-24T10:54:54Z,Bitcoin Pump Group,EOS,Binance,0,
2019-07-24T10:54:54Z,Bitcoin Pump Group,NEO,Binance,0,
2019-07-24T16:18:11Z,Bitcoin Profit Coach,NEO,Binance,0,
2019-07-25T16:00:42Z,Crypto Tree 🎄,APPC,Binance,0,
2019-07-25T20:00:04Z,2018,LRC,Binance,1,2019-07-25T20:00:00Z
2019-07-25T20:00:08Z,Binance Royal Pump,LRC,Binance,1,2019-07-25T20:00:00Z
2019-07-26T08:40:13Z,Bitcoin Pump Group,NULS,Binance,0,
2019-07-26T14:12:30Z,Bitcoin Pump Group,ARN,Binance,0,
2019-07-26T17:59:59Z,Crypto Pump Island,ADX,Binance,1,2019-07-26T17:59:00Z
2019-07-28T17:00:03Z,Bitcoin Pump Group,BLZ,Binance,1,2019-07-28T17:00:00Z
2019-07-29T15:00:02Z,Binance Profit Signal,RDN,Binance,1,2019-07-29T15:00:00Z
2019-07-31T08:43:51Z,Bitcoin Pump Group,ICX,Binance,0,
2019-07-31T08:59:19Z,Bitcoin Pump Group,ELF,Binance,0,
2019-08-01T20:00:02Z,2018,NAV,Binance,1,2019-08-01T20:00:00Z
2019-08-02T18:00:01Z,Crypto Pump Island,WABI,Binance,1,2019-08-02T17:59:00Z
2019-08-04T06:29:28Z,Bitcoin Pump Group,QKC,Binance,0,
2019-08-04T18:00:03Z,Crypto Pump Island,SNM,Binance,1,2019-08-04T18:00:00Z
2019-08-05T15:30:02Z,Cryptocurrency: Wolf Posting 🚀,WPR,Binance,0,
2019-08-06T16:00:07Z,Crypto Pump Island,POA,Binance,1,2019-08-06T16:00:00Z
2019-08-07T12:30:05Z,Pro Analysis,ENG,Binance,1,2019-08-07T12:30:00Z
2019-08-07T16:59:58Z,Bitcoin Pump Group,SNM,Binance,1,2019-08-07T16:59:00Z
2019-08-08T16:00:08Z,Crypto Pump Island,YOYO,Binance,1,2019-08-08T15:59:00Z
2019-08-09T15:00:20Z,Bitcoin Pump Group,CDT,Binance,1,2019-08-09T15:00:00Z
2019-08-10T16:00:37Z,Crypto Pump Island,RCN,Binance,1,2019-08-10T16:00:00Z
2019-08-13T20:00:06Z,2018,CVC,Binance,1,2019-08-13T20:00:00Z
2019-08-13T20:00:07Z,Binance Royal Pump,CVC,Binance,1,2019-08-13T20:00:00Z
2019-08-14T17:02:15Z,Bitcoin Pump Group,ALGO,Binance,0,
2019-08-15T20:00:10Z,Binance Royal Pump,DATA,Binance,1,2019-08-15T20:00:00Z
2019-08-16T16:00:05Z,Bitcoin Pump Group,VIA,Binance,1,2019-08-16T15:59:00Z
2019-08-18T18:43:07Z,American Whales,GXS,Binance,0,
2019-08-19T16:00:03Z,Crypto Pump Island,ONG,Binance,1,2019-08-19T15:59:00Z
2019-08-19T16:00:10Z,Binance Crypto Signals,QLC,Binance,1,2019-08-19T16:00:00Z
2019-08-21T18:00:06Z,Bitcoin Pump Group,VIB,Binance,1,2019-08-21T18:00:00Z
2019-08-22T16:01:09Z,Crypto Fox™,BTS,Binance,1,2019-08-22T15:42:00Z
2019-08-22T20:00:08Z,Binance Royal Pump,SNT,Binance,1,2019-08-22T20:00:00Z
2019-08-23T16:10:41Z,Crypto Lion's™,OST,Binance,0,
2019-08-24T16:59:14Z,Binance Mega Pump,POWR,Binance,1,2019-08-24T16:58:00Z
2019-08-29T18:00:16Z,Binance Royal Pump,QSP,Binance,1,2019-08-29T18:00:00Z
2019-08-29T19:46:43Z,Bitcoin Profit Coach,QSP,Binance,0,
2019-08-30T16:41:30Z,Bitcoin Pump Group,WAN,Binance,0,
2019-08-31T03:37:54Z,Hot Signals Binance Bittrex,KMD,Binance,0,
2019-09-02T14:22:47Z,Crypto Lion's™,MTH,Binance,0,
2019-09-02T15:17:41Z,Bitcoin Pump Group,RLC,Binance,0,
2019-09-02T16:00:01Z,Crypto Pump Island,LRC,Binance,1,2019-09-02T15:59:00Z
2019-09-02T17:27:01Z,Bitcoin Profit Coach,RLC,Binance,0,
2019-09-04T16:00:12Z,Crypto Pump Island,QLC,Binance,1,2019-09-04T15:59:00Z
2019-09-04T16:59:50Z,Bitcoin Pump Group,POA,Binance,1,2019-09-04T16:16:00Z
2019-09-06T18:00:12Z,Crypto Pump Island,EDO,Binance,1,2019-09-06T17:59:00Z
2019-09-08T18:00:02Z,Mega Pump Group,DATA,Binance,1,2019-09-08T18:00:00Z
2019-09-09T10:32:17Z,Bitcoin Pump Group,MATIC,Binance,0,
2019-09-09T20:00:05Z,2018,BNT,Binance,1,2019-09-09T20:00:00Z
2019-09-09T20:00:17Z,Crypto Pump Island,BNT,Binance,1,2019-09-09T20:00:00Z
2019-09-11T18:28:33Z,Crypto Tree 🎄,RLC,Binance,0,
2019-09-12T14:59:53Z,Binance Profit Signal,ARK,Binance,1,2019-09-12T15:00:00Z
2019-09-13T09:42:40Z,Crypto Lion's™,BRD,Binance,0,
2019-09-14T15:09:34Z,Crypto Ninja Coach | Official™,MDA,Binance,0,
2019-09-15T18:59:59Z,Maximum Pump,APPC,Binance,1,2019-09-15T19:00:00Z
2019-09-17T16:00:07Z,Crypto Pump Island,BLZ,Binance,1,2019-09-17T15:59:00Z
2019-09-19T17:00:28Z,Binance Crypto Signals,ONG,Binance,1,2019-09-19T17:00:00Z
2019-09-19T17:19:49Z,Binance Mega Pump,ONG,Binance,0,
2019-09-21T14:59:44Z,Crypto Lion's™,INS,Binance,0,
2019-09-22T20:12:07Z,Bitcoin Pump Group,DCR,Binance,0,
2019-09-25T16:00:15Z,Crypto Pump Island,EDO,Binance,1,2019-09-25T16:00:00Z
2019-09-26T15:59:59Z,Crypto Pump Island,BLZ,Binance,1,2019-09-26T15:00:00Z
2019-09-27T07:03:50Z,Bitcoin Pump Group,MITH,Binance,1,2019-09-27T07:01:00Z
2019-09-30T12:35:50Z,Hot Signals Binance Bittrex,CMT,Binance,0,
2019-10-01T15:16:30Z,Bitcoin Profit Coach,CMT,Binance,0,
2019-10-02T18:00:13Z,Signals Lion,NXS,Binance,1,2019-10-02T18:00:00Z
2019-10-03T14:59:45Z,Moonlight Signal,BRD,Binance,1,2019-10-03T14:00:00Z
2019-10-04T18:02:03Z,Bitcoin Pump Group,AST,Binance,0,
2019-10-05T08:27:35Z,Bitcoin Pump Group,CHZ,Binance,0,
2019-10-06T15:17:52Z,Crypto Trader,NAV,Binance,0,
2019-10-07T12:10:51Z,Crypto Lion's™,LSK,Binance,0,
2019-10-08T16:54:25Z,Crypto Trader,BRD,Binance,0,
2019-10-09T07:27:33Z,Crypto Trader,POWR,Binance,0,
2019-10-10T11:19:52Z,Crypto Lion's™,AE,Binance,0,
2019-10-14T16:29:36Z,Crypto Ninja Coach | Official™,BNT,Binance,1,2019-10-14T16:27:00Z
2019-10-14T17:41:26Z,Binance Crypto Signals,SNGLS,Binance,0,
2019-10-15T16:00:26Z,Cryptonians (Free Signals and News Update),GRS,Binance,1,2019-10-15T15:59:00Z
2019-10-15T20:00:02Z,Coin Pump Crew ✪,RDN,Binance,0,
2019-10-16T11:28:58Z,American Whales,NULS,Binance,0,
2019-10-18T16:30:31Z,Big pump signal ®️🗽,EDO,Binance,0,
2019-10-22T18:00:24Z,Whales Crypto Guide,OST,Binance,1,2019-10-22T18:00:00Z
2019-10-25T18:00:18Z,Coin Pump Crew ✪,NEBL,Binance,0,
2019-10-27T15:56:04Z,Crypto VIP Signal™,NEBL,Binance,1,2019-10-27T15:55:00Z
2019-10-29T18:00:18Z,Crypto Pump Island,ONG,Binance,1,2019-10-29T18:00:00Z
2019-10-30T12:09:40Z,Crypto Lion's™,GRS,Binance,0,
2019-11-01T06:08:17Z,Crypto Tree 🎄,ONE,Binance,0,
2019-11-02T17:29:16Z,Optimus Pump,DGD,Binance,0,
2019-11-05T16:00:12Z,Crypto Pump Island,NEBL,Binance,1,2019-11-05T16:00:00Z
2019-11-09T14:47:49Z,Crypto Lion's™,POA,Binance,0,
2019-11-11T16:59:55Z,Optimus Pump,BCD,Binance,0,
